target_id,rank,sep,simbad_identifier,ra,pm_ra,dec,pm_dec,ra_d,dec_d,plx,rv,z,magB,magV,sp_type
7150,2,2.26,CMC 604707,10:34:19.7289,~,+18:01:32.693,~,158.5822038,+18.0257481,~,~,~,~,12.00,G
7151,2,1.57,XEST 22-100,04:32:15.91,~,+18:01:39.1,~,068.06629,+18.02753,~,~,~,~,~,~
7161,2,0.06,TYC 1423-957-1,10:27:08.409,-123.2,+18:03:44.64,-112.1,156.785037,+18.062400,~,~,~,10.25,9.40,~
7161,3,6.47,HD 90483,10:27:07.963,-122.5,+18:03:45.81,-105.5,156.783179,+18.062725,~,14.6,0.000049,10.44,9.58,G5
7162,2,6.51,TYC 1423-957-1,10:27:08.409,-123.2,+18:03:44.64,-112.1,156.785037,+18.062400,~,~,~,10.25,9.40,~
7162,3,6.51,BD+18 2366,10:27:08.40946,-122.41,+18:03:44.6537,-110.90,156.78503941,+18.06240380,16.44,14.60,0.000049,10.25,9.40,G5
7164,2,3.44,HD 113,00:05:55.47302,-147.32,+18:04:33.1428,-145.02,001.48113757,+18.07587301,26.92,-44.40,-0.000148,9.51,8.58,K0
7164,3,3.62,HD 113A,00:05:55.461,-145.7,+18:04:33.22,-145.9,001.481088,+18.075894,~,~,~,10.17,9.22,~
7165,2,1.35,HD 113A,00:05:55.461,-145.7,+18:04:33.22,-145.9,001.481088,+18.075894,~,~,~,10.17,9.22,~
7165,3,2.32,HD 113B,00:05:55.653,-154.1,+18:04:30.78,-154.5,001.481888,+18.075217,~,~,~,10.50,9.547,~
7166,2,0.18,HD 113A,00:05:55.461,-145.7,+18:04:33.22,-145.9,001.481088,+18.075894,~,~,~,10.17,9.22,~
7166,3,3.49,HD 113B,00:05:55.653,-154.1,+18:04:30.78,-154.5,001.481888,+18.075217,~,~,~,10.50,9.547,~
7170,2,3.83,LP 415-1816,04:40:27.85,~,+18:05:18.4,~,070.11604,+18.08844,~,~,~,16.66,15.01,~
7178,2,0.11,HD 351766,20:12:46.885,18.2,+18:06:17.42,-12.8,303.195354,+18.104839,~,~,~,10.81,10.40,F8
7198,2,0.49,HS 1151+1826,11:54:07.7,~,+18:10:10,~,178.5321,+18.1694,~,~,~,~,~,~
7207,2,1.15,IRAS 18448+1807,18:47:01.31,~,+18:10:54.4,~,281.75546,+18.18178,~,~,~,~,~,~
7210,2,0.09,HD 88133,10:10:07.67564,-12.58,+18:11:12.7296,-264.57,152.53198184,+18.18686934,12.28,-3.37,-0.000011,8.88,8.06,G5
7211,2,0.05,HD 98736,11:21:49.34315,-149.88,+18:11:24.0234,-92.98,170.45559647,+18.19000651,32.21,-3.43,-0.000011,8.84,8.00,G5
7211,3,5.0,BD+19 2443B,11:21:49.13,-151,+18:11:28.0,-96,170.45471,+18.19111,~,~,~,~,11.13,K6.5
7212,2,5.22,HD 98736,11:21:49.34315,-149.88,+18:11:24.0234,-92.98,170.45559647,+18.19000651,32.21,-3.43,-0.000011,8.84,8.00,G5
7212,3,5.23,GJ 426 A,11:21:49.343,-148.2,+18:11:24.01,-93.6,170.455596,+18.190003,~,~,~,8.84,7.99,~
7213,2,0.06,CCDM J06474+1812AB,06:47:23.45678,-0.47,+18:11:36.4333,-42.55,101.84773658,+18.19345369,5.66,17.40,0.000058,6.27,6.20,A2V
7213,3,1.02,BD+18 1349B,06:47:23.4,~,+18:11:36,~,101.8476,+18.1932,~,~,~,7.2,~,A3V
7216,2,0.04,GJ 9034 B,01:00:15.729,18.5,+18:11:56.46,-77.1,015.065537,+18.199017,~,~,~,8.42,7.34,~
7225,2,3.94,1RXS J173501.8+181326,17:35:01.80,~,+18:13:26.5,~,263.75750,+18.22403,~,~,~,~,~,~
7227,2,0.19,1RXS J062740.5+181323,06:27:40.608,~,+18:13:25.89,~,096.919200,+18.223858,~,~,~,7.9,~,~
7228,2,0.21,NAME UX TAU A,04:30:03.988,7.7,+18:13:49.61,-12.0,067.516617,+18.230447,~,~,~,12.92,11.15,K2Ve
7228,3,2.7,NAME UX TAU C,04:30:03.99,~,+18:13:46.7,~,067.51663,+18.22964,~,~,~,~,18.0,M5
7228,4,5.86,NAME UX TAU B,04:30:03.579,~,+18:13:49.49,~,067.514912,+18.230414,~,~,~,~,~,M1Ve
7229,2,4.12,NAME UX TAU A,04:30:03.988,7.7,+18:13:49.61,-12.0,067.516617,+18.230447,~,~,~,12.92,11.15,K2Ve
7229,3,4.26,V* UX Tau,04:30:03.99626,17.18,+18:13:49.4355,-21.91,067.51665107,+18.23039876,-3.70,22.90,0.000076,11.84,10.80,K2Ve+M1Ve
7229,4,5.29,NAME UX TAU C,04:30:03.99,~,+18:13:46.7,~,067.51663,+18.22964,~,~,~,~,18.0,M5
7230,2,1.48,V* UX Tau,04:30:03.99626,17.18,+18:13:49.4355,-21.91,067.51665107,+18.23039876,-3.70,22.90,0.000076,11.84,10.80,K2Ve+M1Ve
7230,3,3.54,NAME UX TAU C,04:30:03.99,~,+18:13:46.7,~,067.51663,+18.22964,~,~,~,~,18.0,M5
7230,4,4.6,NAME UX TAU B,04:30:03.579,~,+18:13:49.49,~,067.514912,+18.230414,~,~,~,~,~,M1Ve
7239,2,6.8,SDSS J080041.14+181437.3,08:00:41.142,~,+18:14:37.38,~,120.171423,+18.243717,~,~,~,~,~,~
7239,3,7.9,SDSS J080041.78+181441.8,08:00:41.784,~,+18:14:41.86,~,120.174099,+18.244961,~,~,~,~,~,~
7239,4,9.34,SDSS J080041.09+181434.9,08:00:41.093,~,+18:14:34.93,~,120.171221,+18.243036,~,~,~,~,~,~
7241,2,5.1,Cl* Melotte 25 REID 57,04:06:01.66,~,+18:15:05.6,~,061.50692,+18.25156,~,~,~,14.44,12.98,DA
7279,2,4.11,LP 413-2,03:31:58.281,245.8,+18:19:48.93,-43.5,052.992837,+18.330258,~,~,~,12.37,11.72,~
7285,2,3.91,[ITH2008] V827 Tau-cc1,04:32:14.23,~,+18:20:15.7,~,068.05929,+18.33769,~,~,~,~,~,~
7294,2,4.65,V* V710 Tau,04:31:57.797,9.7,+18:21:35.06,-5.9,067.990821,+18.359739,~,~,~,~,~,M2/3e+M0.5/1e
7294,3,4.83,EM* LkHA 266,04:31:57.803,12.1,+18:21:34.82,-46.2,067.990846,+18.359672,~,~,~,~,~,M2/3e
7295,2,6.56,V* V710 Tau,04:31:57.797,9.7,+18:21:35.06,-5.9,067.990821,+18.359739,~,~,~,~,~,M2/3e+M0.5/1e
7295,3,6.69,EM* LkHA 266,04:31:57.803,12.1,+18:21:34.82,-46.2,067.990846,+18.359672,~,~,~,~,~,M2/3e
7300,2,0.03,* 24 Com A,12:35:07.76217,-0.48,+18:22:37.4018,22.24,188.78234238,+18.37705607,7.24,3.03,0.000010,6.17,5.02,K0II-III
7300,3,0.7,PMSC 12301+1855,12:35:07.8,~,+18:22:37,~,188.7825,+18.3769,~,~,~,~,~,~
7307,2,1.93,** LDS 9159,03:39:33.5,~,+18:23:07,~,054.8896,+18.3853,~,~,~,~,~,~
7324,2,2.0,HD 148653A,16:28:52.670,-339.9,+18:24:50.55,383.3,247.219458,+18.414042,~,-30.96,-0.000103,8.453,7.59,K3V
7324,3,2.15,HD 148653,16:28:52.66102,-353.30,+18:24:50.6185,388.45,247.21942093,+18.41406070,50.87,-31.26,-0.000104,7.86,7.02,K3V+K3V
7325,2,0.96,HD 148653B,16:28:52.769,-339.9,+18:24:49.44,383.3,247.219871,+18.413733,~,-32.30,-0.000108,8.683,7.82,K3V
7325,3,0.99,HD 148653,16:28:52.66102,-353.30,+18:24:50.6185,388.45,247.21942093,+18.41406070,50.87,-31.26,-0.000104,7.86,7.02,K3V+K3V
7326,2,0.13,HD 148653,16:28:52.66102,-353.30,+18:24:50.6185,388.45,247.21942093,+18.41406070,50.87,-31.26,-0.000104,7.86,7.02,K3V+K3V
7326,3,1.83,HD 148653B,16:28:52.769,-339.9,+18:24:49.44,383.3,247.219871,+18.413733,~,-32.30,-0.000108,8.683,7.82,K3V
