target_id,rank,sep,simbad_identifier,ra,pm_ra,dec,pm_dec,ra_d,dec_d,plx,rv,z,magB,magV,sp_type
5,2,8.26,2MASS J23415511+0000013,23:41:55.12,244,+00:00:01.3,-37,355.47967,+00.00036,~,~,~,~,~,~
38,2,0.03,HD 164509,18:01:31.22790,-7.40,+00:06:16.3990,-20.98,270.38011626,+00.10455527,19.07,13.63,0.000045,8.723,8.103,G2V
40,2,0.58,** GIC 122,14:52:30.6,~,+00:06:37,~,223.1275,+00.1103,~,~,~,~,~,~
49,2,8.5,SSV LDN 1630 15,05:46:35.5,~,+00:08:51,~,086.6479,+00.1475,~,~,~,~,~,~
54,2,0.06,HD 167278,18:14:33.65346,17.98,+00:10:32.9342,-31.02,273.64022276,+00.17581504,8.74,-14.70,-0.000049,8.08,7.67,F5V
54,3,1.29,HD 167278B,18:14:33.736,19.5,+00:10:32.81,-35.3,273.640567,+00.175781,~,~,~,8.94,8.49,~
55,2,0.56,PPM 700433,12:17:15.380,-147.0,+00:10:38.06,-164.0,184.314083,+00.177239,~,~,~,~,10.5,~
62,2,4.62,* d Ser,18:27:12.50775,-3.67,+00:11:45.9912,-8.61,276.80211561,+00.19610865,6.95,-23.3,-0.000078,5.71,5.21,A0Vs+G:III
62,3,4.73,* d Ser A,18:27:12.515,8.5,+00:11:45.90,-21.5,276.802146,+00.196083,~,~,~,5.839,5.322,A0IV
68,2,0.46,** KUI 107,21:32:11.9,~,+00:13:18,~,323.0496,+00.2217,~,~,~,~,~,~
74,2,2.41,** LDS 836,00:45:10.8,~,+00:15:12,~,011.2950,+00.2533,~,~,~,~,~,~
77,2,0.11,HD 149806A,16:37:08.428,92.4,+00:15:15.59,74.6,249.285117,+00.254331,~,~,~,7.916,7.065,~
77,3,6.37,HD 149806B,16:37:08.580,~,+00:15:21.66,~,249.285750,+00.256017,~,~,~,~,13.0,~
91,2,0.11,HD 49385,06:48:11.50304,-61.84,+00:18:17.8965,39.49,102.04792932,+00.30497126,13.91,33.00,0.000110,7.93,7.42,G0V
91,3,7.51,HD 49385B,06:48:11.790,~,+00:18:11.88,~,102.049125,+00.303300,~,~,~,~,11.5,~
93,2,8.54,HD 1329A,00:17:28.773,20.4,+00:19:16.42,106.5,004.369887,+00.321228,~,~,~,8.367,7.818,~
93,3,8.55,HD 1329,00:17:28.77097,17.40,+00:19:16.4574,108.04,004.36987905,+00.32123817,7.99,20.60,0.000069,~,~,F8V
94,2,0.09,HD 1329A,00:17:28.773,20.4,+00:19:16.42,106.5,004.369887,+00.321228,~,~,~,8.367,7.818,~
94,3,8.48,HD 1329B,00:17:28.404,-32.1,+00:19:10.04,-9.1,004.368350,+00.319456,~,~,~,~,11.92,~
117,2,5.24,HD 77484,09:02:50.65278,-15.87,+00:24:29.5445,-2.96,135.71105324,+00.40820682,4.77,32.90,0.000110,8.02,8.04,B9.5V
118,2,4.08,BD+00 2451B,09:02:50.9,~,+00:24:28,~,135.7121,+00.4078,~,~,~,~,11.8,G5V
129,2,0.1,NAME HIP 116454 b,23:35:49.28,~,+00:26:43.8,~,353.95533,+00.44550,~,~,~,~,~,~
132,2,0.83,IRAS 20546+0016,20:57:10.61,~,+00:27:48.9,~,314.29421,+00.46358,~,~,~,~,~,~
137,2,0.6,IRAS 20368+0018,20:39:24.92,~,+00:29:11.6,~,309.85383,+00.48656,~,~,~,~,~,~
142,2,0.72,PMSC 16363+0042,16:41:20.9,~,+00:30:27,~,250.3371,+00.5075,~,~,~,~,~,~
152,2,0.15,** KUI 22AB,05:58:49.58,~,+00:33:10.7,~,089.70658,+00.55297,~,~,~,~,~,~
152,3,0.25,IRAS 05562+0032,05:58:49.56,~,+00:33:10.5,~,089.70650,+00.55292,~,~,~,~,~,~
154,2,0.15,IDS 08432+0055,08:48:18.30,~,+00:33:18.1,~,132.07625,+00.55503,~,~,~,~,~,~
154,3,0.36,IRAS 08457+0044,08:48:18.29,~,+00:33:17.9,~,132.07621,+00.55497,~,~,~,~,~,~
166,2,1.16,HD 113984A,13:07:19.754,-101.9,+00:35:06.73,-97.6,196.832308,+00.585203,~,~,~,7.976,7.530,~
166,3,7.84,HD 113984B,13:07:19.747,-105.9,+00:35:13.71,-102.2,196.832279,+00.587142,~,-86.5,-0.000288,8.678,8.096,~
167,2,6.15,HD 113984A,13:07:19.754,-101.9,+00:35:06.73,-97.6,196.832308,+00.585203,~,~,~,7.976,7.530,~
167,3,6.96,HD 113984,13:07:19.70445,-92.37,+00:35:05.8422,-100.45,196.83210187,+00.58495616,15.40,-91.40,-0.000305,7.54,7.05,F5V
168,2,6.61,HD 22468,03:36:47.29038,-31.45,+00:35:15.9327,-162.87,054.19704324,+00.58775909,32.59,-15.30,-0.000051,6.63,5.71,K2:Vnk
168,3,6.69,HD 22468A,03:36:47.296,-21.4,+00:35:15.93,-162.3,054.197067,+00.587758,~,~,~,6.78,5.90,G8
169,2,0.09,HD 22468A,03:36:47.296,-21.4,+00:35:15.93,-162.3,054.197067,+00.587758,~,~,~,6.78,5.90,G8
169,3,6.66,HD 22468B,03:36:46.846,-33.0,+00:35:15.72,-163.4,054.195192,+00.587700,~,14.4,0.000048,10.11,8.90,K4
178,2,3.2,CCDM J02598+0037B,02:59:45.07,-96,+00:37:31.4,-163,044.93779,+00.62539,~,~,~,~,14.2,~
185,2,0.11,HD 154621,17:06:36.16724,-22.68,+00:39:07.9062,-4.92,256.65069683,+00.65219617,17.26,-27.30,-0.000091,9.09,8.40,G5V
185,3,0.76,HD 154621B,17:06:36.205,-20.8,+00:39:07.25,-9.7,256.650854,+00.652014,~,~,~,10.89,9.81,~
190,2,4.8,1RXS J175520.7+004004,17:55:20.70,~,+00:40:04.0,~,268.83625,+00.66778,~,~,~,~,~,~
193,2,4.94,1RXS J044805.8+004028,04:48:05.798,~,+00:40:27.98,~,072.024158,+00.674439,~,~,~,~,~,~
202,2,3.5,IRAS 07198+0047,07:22:28.3,~,+00:42:06,~,110.6177,+00.7018,~,~,~,~,~,~
215,2,1.17,HD 20115A,03:14:02.889,76.2,+00:44:21.68,-13.7,048.512038,+00.739356,~,~,~,8.625,8.111,~
215,3,1.17,HD 20115,03:14:02.88710,73.04,+00:44:21.6552,-16.22,048.51202958,+00.73934867,15.21,28.30,0.000094,7.95,7.47,G0V
216,2,0.49,HD 20115,03:14:02.88710,73.04,+00:44:21.6552,-16.22,048.51202958,+00.73934867,15.21,28.30,0.000094,7.95,7.47,G0V
216,3,0.62,HD 20115B,03:14:02.937,76.2,+00:44:20.83,-13.7,048.512237,+00.739119,~,~,~,8.637,8.072,~
217,2,0.06,HD 20115,03:14:02.88710,73.04,+00:44:21.6552,-16.22,048.51202958,+00.73934867,15.21,28.30,0.000094,7.95,7.47,G0V
217,3,1.12,HD 20115B,03:14:02.937,76.2,+00:44:20.83,-13.7,048.512237,+00.739119,~,~,~,8.637,8.072,~
224,2,0.01,HD 5319c,00:55:01.4005,~,+00:47:22.392,~,013.7558354,+00.7895533,~,~,~,~,~,~
224,3,0.4,HD 5319b,00:55:01.4,~,+00:47:22,~,013.7558,+00.7894,~,~,~,~,~,~
278,2,0.1,BD+01 1757A,07:16:47.50,~,+00:58:46.3,~,109.19792,+00.97953,~,~,~,9.4,8.6,G9V
278,3,0.81,BD+01 1757B,07:16:47.4,~,+00:58:46,~,109.1977,+00.9795,~,~,~,9.4,~,G9V
286,2,9.88,1RXS J181705.4+010015,18:17:05.405,~,+01:00:15.52,~,274.272521,+01.004311,~,~,~,~,~,~
291,2,2.57,RX J0539.2+0101,05:39:14.771,~,+01:01:06.94,~,084.811546,+01.018594,~,~,~,~,~,G2
296,2,7.39,1RXS J162204.8+010147,16:22:04.800,~,+01:01:47.50,~,245.520000,+01.029861,~,~,~,~,~,~
299,2,0.92,** GIC 39,03:15:04.7,~,+01:02:15,~,048.7696,+01.0375,~,~,~,~,~,~
312,2,0.1,TYC 464-3404-1,19:18:32.496,13.3,+01:05:06.42,13.8,289.635400,+01.085117,~,~,~,6.67,5.28,~
312,3,3.21,TYC 464-3405-1,19:18:32.509,11.2,+01:05:09.71,17.9,289.635454,+01.086031,~,~,~,8.95,8.29,~
313,2,0.19,TYC 464-3404-1,19:18:32.496,13.3,+01:05:06.42,13.8,289.635400,+01.085117,~,~,~,6.67,5.28,~
313,3,3.11,TYC 464-3405-1,19:18:32.509,11.2,+01:05:09.71,17.9,289.635454,+01.086031,~,~,~,8.95,8.29,~
314,2,3.25,* 23 Aql,19:18:32.49608,12.30,+01:05:06.4602,17.47,289.63540034,+01.08512783,8.79,-23.13,-0.000077,6.322,5.148,K1II/III
314,3,3.29,TYC 464-3404-1,19:18:32.496,13.3,+01:05:06.42,13.8,289.635400,+01.085117,~,~,~,6.67,5.28,~
314,4,9.3,2MASS J19183312+0105099,19:18:33.13,~,+01:05:09.9,~,289.63804,+01.08608,~,~,~,~,13.5,~
317,2,0.32,NAME HD 118865 System,13:39:34.3,~,+01:05:18,~,204.8929,+01.0883,~,~,~,~,~,~
322,2,5.43,CCDM J13298+0106AB,13:29:47.0,~,+01:05:38,~,202.4458,+01.0939,~,~,~,~,~,~
339,2,4.18,Slee ACO 1189 3,11:10:55.78,~,+01:09:51.0,~,167.73242,+01.16417,~,~,~,~,~,~
339,3,5.47,NVSS J111055+010951,11:10:55.80,~,+01:09:53.0,~,167.73250,+01.16472,~,~,~,~,~,~
344,2,6.04,[GMB2011] 1439,23:20:11.235,~,+01:09:58.05,~,350.046813,+01.166126,~,90384,0.365,~,~,~
345,2,0.03,HD 38529b,05:46:34.9120,-80.05,+01:10:05.496,-141.79,086.6454667,+01.1681933,~,~,~,~,~,~
345,3,0.04,HD 38529,05:46:34.91258,-79.12,+01:10:05.4957,-141.84,086.64546906,+01.16819325,25.46,30.21,0.000101,6.684,5.938,G8III/IV
345,4,0.52,** RAG 1,05:46:34.9,~,+01:10:05,~,086.6454,+01.1681,~,~,~,~,~,~
347,2,0.76,PMSC 06107+0112,06:15:54.0,~,+01:10:08,~,093.9750,+01.1689,~,~,~,~,~,~
365,2,3.45,TYC 73-762-1,04:07:16.352,1.9,+01:13:14.64,-3.9,061.818133,+01.220733,~,~,~,13.02,11.79,~
365,3,3.51,RX J0407.2+0113,04:07:16.350,~,+01:13:14.69,~,061.818125,+01.220747,~,~,~,11.66,10.86,G4
366,2,1.02,RX J0407.2+0113,04:07:16.350,~,+01:13:14.69,~,061.818125,+01.220747,~,~,~,11.66,10.86,G4
366,3,1.58,GSC 00073-00762,04:07:16.50,~,+01:13:14.5,~,061.81875,+01.22069,~,~,~,~,10.5,~
371,2,0.5,** PIN 2,14:23:15.3,~,+01:14:30,~,215.8137,+01.2417,~,~,~,~,~,~
373,2,0.1,IDS 10332+0146,10:38:17.33,~,+01:14:38.4,~,159.57221,+01.24400,~,~,~,~,~,~
389,2,2.57,TYC 57-485-1,03:29:08.070,5.4,+01:18:05.70,-5.8,052.283625,+01.301583,~,11.86,0.000040,11.09,10.49,G0IV:
410,2,0.15,** STF 84,01:03:49.02,~,+01:22:00.6,~,015.95425,+01.36683,~,~,~,~,~,~
410,3,9.49,1RXS J010348.4+012201,01:03:48.40,~,+01:22:01.5,~,015.95167,+01.36708,~,~,~,~,~,~
412,2,0.18,CoRoT-2b,19:27:06.50,~,+01:23:01.5,~,291.77708,+01.38375,~,~,~,~,12.57,~
412,3,4.06,2MASS J19270636+0122577,19:27:06.366,~,+01:22:57.79,~,291.776525,+01.382719,~,~,~,13.6,~,~
426,2,6.33,BD+01 3304B,16:47:28.0,~,+01:27:28,~,251.8667,+01.4578,~,~,~,~,13.5,~
435,2,9.06,[ZEH2003] RX J1029.7+0129 1,10:29:42.8,~,+01:29:31,~,157.4283,+01.4919,~,~,~,~,~,~
437,2,0.08,HD 169309,18:24:03.92517,-20.42,+01:29:58.0657,-23.06,276.01635489,+01.49946270,15.00,1.40,0.000005,8.89,8.58,F2V
444,2,8.94,V* V1884 Ori,05:32:22.39,-20,+01:31:42.3,-12,083.09329,+01.52842,~,~,~,~,11.98,K2
445,2,6.08,V* V1883 Ori,05:32:21.9,~,+01:31:41,~,083.0913,+01.5281,~,~,~,~,13.78,K5
446,2,1.3,CCDM J21031+0132AB,21:03:03.02378,-110.79,+01:31:55.4137,-53.84,315.76259908,+01.53205937,14.12,7.70,0.000026,6.73,6.25,F5/6V
447,2,0.92,** STF 2744A,21:03:03.09,~,+01:31:55.9,~,315.76287,+01.53219,~,~,~,~,~,~
448,2,1.03,** STF 2744A,21:03:03.09,~,+01:31:55.9,~,315.76287,+01.53219,~,~,~,~,~,~
453,2,0.5,IRAS 13591+0147,14:01:38.81,~,+01:32:39.9,~,210.41171,+01.54442,~,~,~,~,~,~
454,2,8.95,BD+02 2098,08:55:07.597,44.83,+01:32:56.44,-1044.60,133.781654,+01.549011,~,0.20,0.000001,11.30,9.98,K7
464,2,0.1,** EIS 1,15:48:09.46,~,+01:34:18.2,~,237.03942,+01.57172,~,~,~,~,~,~
464,3,1.14,RX J1548.1+0134,15:48:09.40,~,+01:34:19.0,~,237.03917,+01.57194,~,~,~,~,~,~
472,2,8.88,2MASS J12073947+0136070,12:07:39.48,-209,+01:36:07.1,-169,181.91450,+01.60197,~,~,~,~,~,~
511,2,0.08,1RXS J182217.2+014227,18:22:17.220,~,+01:42:25.48,~,275.571750,+01.707078,~,~,~,11.3,~,~
530,2,1.2,CCDM J15193+0146D,15:19:18.88,~,+01:45:55.5,~,229.82867,+01.76542,~,~,~,~,~,~
557,2,0.98,HD 11803,01:55:53.82941,154.24,+01:50:59.8991,186.27,028.97428922,+01.84997198,25.07,31.90,0.000106,6.57,6.01,F9V
557,3,1.04,HD 11803B,01:55:53.834,163.9,+01:50:59.90,189.2,028.974308,+01.849972,~,~,~,7.285,6.727,F7(V)
558,2,0.55,HD 11803B,01:55:53.834,163.9,+01:50:59.90,189.2,028.974308,+01.849972,~,~,~,7.285,6.727,F7(V)
558,3,0.6,HD 11803A,01:55:53.770,163.9,+01:50:59.31,189.2,028.974042,+01.849808,~,~,~,7.33,6.78,G0(V)
559,2,0.06,HD 11803B,01:55:53.834,163.9,+01:50:59.90,189.2,028.974308,+01.849972,~,~,~,7.285,6.727,F7(V)
559,3,1.08,HD 11803A,01:55:53.770,163.9,+01:50:59.31,189.2,028.974042,+01.849808,~,~,~,7.33,6.78,G0(V)
565,2,0.96,HD 70573b,08:22:49.95,~,+01:51:33.6,~,125.70812,+01.85933,~,~,~,~,~,~
610,2,0.13,BD+01 938A,05:13:31.559,7.2,+01:58:03.70,1.7,078.381496,+01.967694,~,~,~,6.88,6.78,A2/3V
610,3,0.43,BD+01 938B,05:13:31.530,7.2,+01:58:03.39,1.7,078.381375,+01.967608,~,~,~,7.74,6.90,(K)
610,4,1.32,** STT 517,05:13:31.48,~,+01:58:02.9,~,078.38117,+01.96747,~,~,~,~,~,~
610,5,5.78,BD+01 938C,05:13:31.80,~,+01:57:59.3,~,078.38250,+01.96647,~,~,~,~,~,~
613,2,0.14,* lam Oph A,16:30:54.828,-21.3,+01:59:02.02,-87.7,247.728450,+01.983894,~,~,~,4.18,4.15,A0V
613,3,0.95,"** STF 2055AB,C",16:30:54.8,~,+01:59:03,~,247.7283,+01.9842,~,~,~,~,~,~
613,4,1.34,* lam Oph B,16:30:54.862,-21.3,+01:59:03.28,-87.7,247.728592,+01.984244,~,~,~,5.21,5.14,A4V
614,2,0.28,* lam Oph A,16:30:54.828,-21.3,+01:59:02.02,-87.7,247.728450,+01.983894,~,~,~,4.18,4.15,A0V
614,3,0.83,"** STF 2055AB,C",16:30:54.8,~,+01:59:03,~,247.7283,+01.9842,~,~,~,~,~,~
614,4,1.09,* lam Oph B,16:30:54.862,-21.3,+01:59:03.28,-87.7,247.728592,+01.984244,~,~,~,5.21,5.14,A4V
615,2,0.85,"** STF 2055AB,C",16:30:54.8,~,+01:59:03,~,247.7283,+01.9842,~,~,~,~,~,~
615,3,1.34,* lam Oph,16:30:54.82314,-30.98,+01:59:02.1209,-73.42,247.72842975,+01.98392248,18.84,-16.00,-0.000053,3.94,3.90,A1IV
615,4,1.42,* lam Oph A,16:30:54.828,-21.3,+01:59:02.02,-87.7,247.728450,+01.983894,~,~,~,4.18,4.15,A0V
621,2,4.66,1RXS J191748.0+020150,19:17:48.002,~,+02:01:50.48,~,289.450008,+02.030689,~,~,~,~,~,~
627,2,3.33,Cl* NGC 5904 ARP 4002,15:18:35.12,~,+02:02:47.2,~,229.64633,+02.04644,~,~,~,~,~,~
627,3,3.69,Cl* NGC 5904 SB 4-331,15:18:35.16,~,+02:02:47.2,~,229.64650,+02.04644,~,~,~,15.780,15.850,~
627,4,4.08,Cl* NGC 5904 SB 2-316,15:18:34.84,-0.040,+02:02:53.3,-0.270,229.64517,+02.04814,~,~,~,15.920,14.960,~
629,2,6.93,2MASS J15182555+0203006,15:18:25.56,0.080,+02:03:00.7,-0.500,229.60650,+02.05019,~,~,~,15.520,15.380,~
629,3,8.4,2MASS J15182478+0202531,15:18:24.78,-0.300,+02:02:53.1,-0.340,229.60325,+02.04808,~,54,0.000180,12.810,10.930,F4
634,2,9.72,V* TU Aql,19:27:36.35,~,+02:03:10.8,~,291.90146,+02.05300,~,-56.0,-0.000187,~,~,M2e
641,2,9.41,2MASS J15184203+0203460,15:18:42.03,-0.110,+02:03:46.0,0.050,229.67512,+02.06278,~,~,~,15.480,14.960,~
645,2,0.03,HD 149143,16:32:51.05035,-9.26,+02:05:05.3732,-87.31,248.21270978,+02.08482590,16.12,12.27,0.000041,8.56,7.89,G3V
653,2,7.41,1RXS J172545.6+020646,17:25:45.600,~,+02:06:46.01,~,261.440000,+02.112781,~,~,~,~,~,~
656,2,9.05,[CBS2002] C18262+0723,15:18:26.2,~,+02:07:23,~,229.6092,+02.1231,~,~,~,19.19,18.70,~
656,3,9.21,[CBS2002] C18262+0726,15:18:26.2,~,+02:07:26,~,229.6092,+02.1239,~,~,~,~,~,~
658,2,9.44,2MASS J15184233+0207406,15:18:42.34,-0.220,+02:07:40.6,-0.050,229.67642,+02.12794,~,~,~,14.775,13.950,~
662,2,1.59,HD 225028A,00:02:47.176,62.2,+02:07:48.55,-93.7,000.696567,+02.130153,~,~,~,7.90,7.33,~
662,3,1.6,HD 225028,00:02:47.17405,60.57,+02:07:48.5494,-92.06,000.69655854,+02.13015261,23.46,-2.90,-0.000010,7.84,7.7,F8/G0V
663,2,0.1,HD 225028,00:02:47.17405,60.57,+02:07:48.5494,-92.06,000.69655854,+02.13015261,23.46,-2.90,-0.000010,7.84,7.7,F8/G0V
663,3,1.51,HD 225028B,00:02:47.197,62.2,+02:07:47.01,-93.7,000.696654,+02.129725,~,~,~,10.17,9.26,~
664,2,0.1,HD 225028,00:02:47.17405,60.57,+02:07:48.5494,-92.06,000.69655854,+02.13015261,23.46,-2.90,-0.000010,7.84,7.7,F8/G0V
664,3,1.61,HD 225028B,00:02:47.197,62.2,+02:07:47.01,-93.7,000.696654,+02.129725,~,~,~,10.17,9.26,~
672,2,0.08,BD+01 3942A,19:14:58.9564,344.19,+02:09:54.763,402.72,288.7456517,+02.1652119,27.74,~,~,11.34,10.19,K7V
672,3,8.45,BD+01 3942B,19:14:59.042,367.5,+02:09:46.34,396.3,288.746008,+02.162872,~,~,~,12.73,11.03,M0V
674,2,0.1,** LDS 5851,16:26:17.50,~,+02:10:44.7,~,246.57292,+02.17908,~,~,~,~,~,~
674,3,9.6,BD+02 3101B,16:26:17.10,56,+02:10:52.1,-489,246.57125,+02.18114,~,~,~,18.9,~,DC
679,2,0.07,* ome Ser,15:50:17.54635,29.15,+02:11:47.4362,-47.31,237.57310979,+02.19651006,11.93,-3.11,-0.000010,6.239,5.230,K0IV
683,2,0.25,IRAS 23462+0156,23:48:49.38,~,+02:12:51.7,~,357.20575,+02.21436,~,~,~,~,~,~
683,3,4.71,1RXS J234849.3+021256,23:48:49.298,~,+02:12:56.48,~,357.205408,+02.215689,~,~,~,~,~,~
693,2,0.62,IRAS 21370+0201,21:39:33.26,~,+02:14:36.2,~,324.88858,+02.24339,~,~,~,~,~,~
699,2,0.25,BD+02 1197A,06:21:25.78,~,+02:16:06.9,~,095.35742,+02.26858,~,~,~,6.5,6.2,A3V
699,3,0.54,PMSC 06162+0219,06:21:25.8,~,+02:16:07,~,095.3575,+02.2686,~,~,~,~,~,~
699,4,0.68,BD+02 1197B,06:21:25.8,~,+02:16:07,~,095.3573,+02.2687,~,~,~,6.8,8.02,A6V
702,2,0.09,HD 128563A,14:37:28.464,-43.5,+02:16:38.13,-63.1,219.368600,+02.277258,~,~,~,7.010,6.455,~
715,2,0.18,HD 66141b,08:02:15.94,~,+02:20:04.5,~,120.56642,+02.33458,~,~,~,~,~,~
740,2,9.51,1RXS J043420.0+022623,04:34:20.002,~,+02:26:22.99,~,068.583342,+02.439719,~,~,~,~,~,~
764,2,3.01,* 70 Oph A,18:05:27.371,276.3,+02:29:59.32,-1091.8,271.364046,+02.499811,196.62,-7.1,-0.000024,4.970,4.123,K0-V
764,3,4.44,* 70 Oph,18:05:27.28518,124.16,+02:30:00.3558,-962.82,271.36368827,+02.50009883,196.72,-6.87,-0.000023,4.89,4.03,K0-V
766,2,1.14,* 70 Oph A,18:05:27.371,276.3,+02:29:59.32,-1091.8,271.364046,+02.499811,196.62,-7.1,-0.000024,4.970,4.123,K0-V
766,3,3.95,* 70 Oph B,18:05:27.421,442.1,+02:29:56.42,-1253.0,271.364254,+02.499006,196.62,-10,-0.000033,7.15,7.16,K4V
767,2,1.62,* 70 Oph A,18:05:27.371,276.3,+02:29:59.32,-1091.8,271.364046,+02.499811,196.62,-7.1,-0.000024,4.970,4.123,K0-V
767,3,4.44,* 70 Oph B,18:05:27.421,442.1,+02:29:56.42,-1253.0,271.364254,+02.499006,196.62,-10,-0.000033,7.15,7.16,K4V
777,2,0.04,GJ 9527 A,15:44:01.818,-48.0,+02:30:54.63,-147.2,236.007575,+02.515175,~,~,~,6.544,5.868,~
777,3,4.72,GJ 9527 B,15:44:01.95,-79,+02:30:58.9,-151,236.00812,+02.51636,~,~,~,~,12.0,~
778,2,3.58,* psi Ser,15:44:01.82075,-43.11,+02:30:54.6340,-143.57,236.00758644,+02.51517611,68.22,19.50,0.000065,6.525,5.879,G2.5V
778,3,3.61,GJ 9527 A,15:44:01.818,-48.0,+02:30:54.63,-147.2,236.007575,+02.515175,~,~,~,6.544,5.868,~
787,2,9.01,[BVH2007] 42,03:27:54.5,~,+02:33:47,~,051.9771,+02.5631,~,8917,0.0302,~,~,~
792,2,8.15,IRAS 17420+0235,17:44:34.6,~,+02:34:42,~,266.1440,+02.5784,~,~,~,~,~,~
792,3,9.36,ADS 10750 AB,17:44:34.7,~,+02:34:44,~,266.1446,+02.5789,~,~,~,5.65,5.58,A0
798,2,1.21,HD 35112A,05:22:37.500,69.7,+02:36:11.40,-152.1,080.656250,+02.603167,~,~,~,9.02,7.93,~
798,3,1.32,HD 35112,05:22:37.49127,56.17,+02:36:11.4868,-139.35,080.65621364,+02.60319077,49.44,36.41,0.000121,8.716,7.747,K3V
799,2,0.15,HD 35112A,05:22:37.500,69.7,+02:36:11.40,-152.1,080.656250,+02.603167,~,~,~,9.02,7.93,~
799,3,1.24,HD 35112B,05:22:37.506,96.4,+02:36:10.18,-175.8,080.656275,+02.602828,~,~,~,~,10.77,~
800,2,0.18,HD 35112A,05:22:37.500,69.7,+02:36:11.40,-152.1,080.656250,+02.603167,~,~,~,9.02,7.93,~
800,3,1.34,HD 35112B,05:22:37.506,96.4,+02:36:10.18,-175.8,080.656275,+02.602828,~,~,~,~,10.77,~
809,2,9.85,UCAC4 464-048383,12:43:31.748,~,+02:37:07.98,~,190.882283,+02.618883,~,~,~,~,~,~
820,2,0.4,BD+01 4694B,23:12:38.6,~,+02:41:10,~,348.1609,+02.6862,~,~,~,9.0,8.50,G4V
820,3,1.43,BD+01 4694A,23:12:38.55,~,+02:41:11.7,~,348.16062,+02.68658,~,~,~,8.4,7.7,G2V
820,4,2.09,PMSC 23075+0209,23:12:38.5,~,+02:41:12,~,348.1604,+02.6867,~,~,~,~,~,~
820,5,8.12,NSV 26038,23:12:38.4,~,+02:41:18,~,348.1600,+02.6883,~,~,~,~,~,~
826,2,3.66,IRAS 17453+0243,17:47:53.3,~,+02:42:26,~,266.9722,+02.7071,~,~,~,~,~,~
831,2,0.15,** STF 1740,13:23:39.16,~,+02:43:24.0,~,200.91317,+02.72333,~,~,~,~,~,~
847,2,0.66,* alf Psc A,02:02:02.824,41.8,+02:45:49.43,-11.0,030.511767,+02.763731,~,8.5,0.000028,4.06,4.11,kA0hA7Sr
847,3,1.19,* alf Psc B,02:02:02.702,41.8,+02:45:49.72,-11.0,030.511258,+02.763811,~,8.8,0.000029,5.389,5.135,kA2hF2mF2(IV)
848,2,0.09,* alf Psc A,02:02:02.824,41.8,+02:45:49.43,-11.0,030.511767,+02.763731,~,8.5,0.000028,4.06,4.11,kA0hA7Sr
848,3,1.78,* alf Psc B,02:02:02.702,41.8,+02:45:49.72,-11.0,030.511258,+02.763811,~,8.8,0.000029,5.389,5.135,kA2hF2mF2(IV)
849,2,1.79,* alf Psc,02:02:02.81972,32.45,+02:45:49.5410,0.04,030.51174881,+02.76376138,21.66,7.50,0.000025,3.84,3.82,kA0hA7Sr+kA2hF2mF2(IV)
849,3,1.87,* alf Psc A,02:02:02.824,41.8,+02:45:49.43,-11.0,030.511767,+02.763731,~,8.5,0.000028,4.06,4.11,kA0hA7Sr
861,2,0.05,HD 102195,11:45:42.29221,-189.71,+02:49:17.3338,-112.09,176.42621755,+02.82148162,33.74,1.89,0.000006,8.90,8.06,K0V
864,2,0.69,BD+02 3363,17:36:48.114,-137.8,+02:50:19.66,-190.3,264.200475,+02.838794,~,~,~,11.38,10.74,G3
866,2,7.53,2MASS J11392793+0250483,11:39:27.94,-226,+02:50:48.3,95,174.86642,+02.84675,~,~,~,~,~,~
870,2,3.33,TYC 77-2023-1,04:13:23.175,-6.6,+02:52:10.13,-5.6,063.346563,+02.869481,~,~,~,9.66,9.08,~
871,2,2.16,TYC 77-2023-1,04:13:23.175,-6.6,+02:52:10.13,-5.6,063.346563,+02.869481,~,~,~,9.66,9.08,~
872,2,3.19,CCDM J04134+0252AB,04:13:23.03290,-19.27,+02:52:07.5565,-22.83,063.34597043,+02.86876570,9.54,~,~,8.3,8.4,F5V
888,2,0.9,IDS 06261+0259,06:31:21.55,~,+02:54:40.6,~,097.83979,+02.91128,~,~,~,~,~,~
892,2,0.15,** UC 771,02:40:08.66,~,+02:55:06.7,~,040.03608,+02.91853,~,~,~,~,~,~
895,2,0.18,IRAS 17581+0255,18:00:38.71,~,+02:55:53.7,~,270.16129,+02.93158,~,~,~,~,~,~
895,3,8.28,BD+02 3458B,18:00:38.5,~,+02:55:46,~,270.1604,+02.9294,~,-4.2,-0.000014,~,13.7,B1V
897,2,0.1,** CRI 26,20:13:11.02,~,+02:56:20.1,~,303.29592,+02.93892,~,~,~,~,~,~
906,2,1.01,GSC 00102-00625,05:04:04.16,~,+02:57:22.4,~,076.01733,+02.95622,~,~,~,~,~,~
907,2,7.1,1RXS J015522.1+025731,01:55:22.10,~,+02:57:31.0,~,028.84208,+02.95861,~,~,~,~,~,~
915,2,0.05,* 83 Leo Bb,11:26:46.2771,~,+03:00:22.781,~,171.6928213,+03.0063281,~,~,~,~,~,~
915,3,0.06,* 83 Leo B,11:26:46.27660,-730.81,+03:00:22.7617,188.97,171.69281916,+03.00632269,55.69,3.76,0.000013,8.554,7.530,K2/4
918,2,6.64,** STF 1540AB,11:26:45.75,~,+03:00:45.6,~,171.69062,+03.01267,~,~,~,~,~,~
