prog_id,target_name,target_id
42,0402.4+2152,8825
58,0409-25,30306
44,0411+23,9517
42,0411.5+2327,9517
58,0415-18,29035
58,0425+10,3432
58,0426+09,3333
42,0430.6+1754,7144
58,0431-00,11
58,0435+08,2617
44,0448+10,3753
42,0448.4+1058,3753
32,0451-0305,24694
58,0456+56,21811
58,0456-06,25666
10,047,1738
32,0502-1204,27313
58,0502-21,29809
58,0503+35,14789
44,0505-05,25438
58,0507+52,21129
58,0513+53,21290
10,052,1771
56,0520+24,10312
58,0523+36,15482
58,0523+50,20434
58,0526-04,25168
58,0529+07,2397
58,0535-01,24326
58,0536+28,12118
58,0536+37,15816
58,0538+32,13553
58,0538+38,16381
44,0538-09,26724
42,0538.6-0949,26724
58,0539-04,25008
58,0540-23,30038
58,0545-31,31691
58,0548-29,31112
58,0552+20,8133
58,0552+32,13586
58,0553+48,19829
58,0555+74,23474
58,0600+13,5274
58,0600+16,6302
58,0601+28,11992
58,0606+46,19173
58,0615-31,31559
58,0619-03,24926
58,0620-02,24441
58,0624-07,26182
58,0630+31,13404
58,0630+60,22757
58,0634+14,5591
58,0634-01,24217
58,0634-30,31468
58,0636+59,22569
10,064,1789
58,0640+57,22253
58,0642+09,2884
58,0643+30,12796
58,0649-18,29181
10,065,1735
58,0650+08,2653
58,0655+03,995
44,0657+7518N,23500
44,0657+7518S,23499
42,0657.6+7529,23511
48,067767,10609
10,068,1670
10,069,1720
58,0701-16,28590
58,0702-08,26517
58,0704+08,2810
58,0704+28,11795
58,0709+17,6959
58,0710-07,26196
48,071148,18844
58,0722+33,14027
58,0723-05,25600
58,0725+41,17288
58,0726-04,25054
58,0729+08,2612
44,0730+6546,23091
47,0730+6546,23091
58,0730-20,29602
58,0732-23,30133
14,0735+178,6976
58,0738+08,2632
58,0742+30,13053
58,0752-27,30907
58,0754+21,8558
48,075530,25512
48,075767,2544
44,0758+14,5367
32,0758+1B,5370
58,0758-12,27526
32,0801+2425,9909
32,0801+24C,9896
58,0808-15,28236
14,0809+48,19694
44,0809+48,19694
10,081,1644
44,0810+63,22914
42,0810.2+6305,22914
58,0811+37,15843
32,0811+6301,22907
58,0813+11,4089
32,0815+7433,23470
58,0815-31,31646
32,0816+7449,23480
44,0820+02,564
42,0820.2+0201,564
44,0830+11,3835
32,0830+20A,11793
32,0830+20B,11803
42,0830.3+1126,3835
58,0833+13,5119
44,0834+65,23049
42,0834.7+6512,23049
14,0842+16,6191
14,0850+14,5295
44,0850+14,5295
42,0850.9+1401,5295
44,0851+20,8149
42,0851.2+2025,8149
58,0853-08,26570
48,087998A,29376
48,089269,18261
14,0903+17,6650
44,0903+17,6650
48,090508,19993
58,0906+25,10500
14,0920+78,23586
44,0920+N,23586
44,0920+S,23585
42,0920.5+7838,23586
32,0922+7459A,23488
32,0922+7459B,23489
32,0922+SAO,23487
44,0922-06,25786
42,0922.9-0610,25786
58,0933-14,28082
14,0938+11,4003
44,0938+11,4003
44,0938.3+1115,3732
44,0939-23,30042
58,0942+34,14450
58,0942-21,29826
58,0942-23,30136
58,0944+11,3910
48,094518,31578
48,095364,9754
14,0956+12,4556
32,0956+12,4556
48,098562,9533
43,10-2405,3407
43,10-2408,3375
43,10-2427,3023
43,10-2432,3199
43,10-2447,3132
43,10-2475,3401
43,10-2492,3226
43,10-2501,3420
43,10-2505,3310
43,10-2525,3119
43,10-2552,3029
1,100.029,8979
1,100.032,9148
1,100.036,8976
1,100.052,8983
1,100.055,9328
1,100.056,8883
1,100.061,9320
1,100.067,8949
1,100.076,8836
1,100.100,9387
1,100.102,9463
1,100.104,8886
1,100.110,9190
1,100.111,9271
1,100.115,9185
1,100.118,9332
1,100.121,9519
1,100.129,8996
1,100.170,8934
1,100.211,9407
1,100.226,9325
1,100.250,8947
1,100.283,8894
1,100.293,9252
1,100.317,9760
1,100.347,9624
1,101.006,10097
1,101.007,9989
1,101.008,10040
1,101.010,9671
1,101.016,10243
1,101.030,9565
1,101.031,10057
1,101.038,9427
1,101.052,9465
1,101.055,9584
1,101.062,9953
1,101.092,10055
1,101.099,10167
1,101.117,9561
